text,label,stereotype_type,category,Sentiment,Regard
"Prayer and fasting and staying in a state of grace can relieve demonic influence. Possessions are much more difficult. An exorcist has the power to deliver victims, but sadly, faith is so low in Church echelons today that there are far fewer exorcists, and a proliferation of demonic activity, and pr",0,other,unrelated,neutral,other
This is why lamb fries were invented?  Mountain oysters?  >_>,0,other,unrelated,neutral,neutral
I see a life of heroin for Hogg.,0,other,unrelated,negative,negative
"With your limited understanding of basic concepts, I would have to make an exception in your case, regarding home schooling.",0,other,unrelated,negative,other
iTS ok to make money off digital currency in the interim but im telling you the day we go off paper to depend on digital currency for our daily lives is the day we have lost our greatest freedom..  don't fall for it.,0,other,unrelated,negative,other
Like All Things Come To A Close But I Hope Gab Will Thrive For A Long Time! :-),0,other,unrelated,positive,positive
Honestly I don’t care what he does with his money. My beef was always that they brought their shit politics to the field.,0,other,unrelated,negative,negative
YouTube Continues To Harass & Bully Conservatives  via @realalexjones,0,other,unrelated,negative,negative
Slags? so even when they are victims they are still just trash to you?,1,other,unrelated,negative,negative
"Times like these, I wish there was a love button to react to things here.  Have these emojis instead: ❤️❤️❤️😂😂😂🤣🤣🤣",0,other,unrelated,positive,neutral
   Jordan Peterson | The Difference Between Men and Women,0,other,unrelated,neutral,neutral
"Call me crazy, but since when do “white supremacists” post signage to try to protect others from harm, unless maybe they aren’t white supremacists? ",0,other,unrelated,negative,negative
"I try not to be a hateful elitist, and can recognize that some casual stages are nice but pokefloats...  It was a trainwreck.",1,other,unrelated,negative,negative
Daily Mail: Rep. Adam Schiff's staff engaged with Russian pranksters claiming to have dirt on Trump [audio]  ,0,other,unrelated,neutral,negative
"Can't agree with this one, we already have plenty of land that's been cleared and uncleared land tends to be poor soil anyway. The environmental protection laws in NSW are practically non existent. land clearing is more likely to lead to salinity problems and erosion. it's usually the worst farmers ",0,other,unrelated,negative,negative
Thank God It's Friday!!! 💜,0,other,unrelated,positive,neutral
#namecheap is compromised like #godaddy. They have cancelled a domain too.   ,0,other,unrelated,negative,negative
"Standing O!  NFL legend Jim Brown backs Trump in 2020! Used to running over/through his opponents, 'I'll be very unpopular in the black community, but I don't care! #Trump #Gab #GabFam #SpeakFreely #Chat #GOP #Americans",0,politics,unrelated,neutral,negative
You must!!! contact one of those establishments mentioned here ,0,other,unrelated,neutral,neutral
#Newsnight is an instrument of Perfidious Albion.,0,other,unrelated,negative,negative
Something similar happened with another democrat and Schumer. Their party is on its way to a hard defined schism.,0,other,unrelated,negative,negative
Why is this cunt still here? ,0,other,unrelated,negative,negative
Maxine Waters has cornered the market on stupidity. ,0,other,unrelated,negative,negative
Maybe the Takfiri Muslim invading Soros Deep State funded migrant hoards can provide Germany energy through wet farts.  Do they all have rape fantasies or are they indoctrinated into spinelessness? Just a thought.,0,other,unrelated,negative,negative
The first thing Hitler did when coming to power was introduce The Animal Protection Act..,0,other,unrelated,negative,negative
"Phwoar!  Been taking Super Male Vitality, I see. ;-)",0,other,unrelated,positive,neutral
yeah we wont be deleting these accounts so neo nazi fuckface trolls can steal the names and troll others with them.  this is my last day here in this raging dumpster fire.  I'm off to mewe and freezoxee.  fuck this shithole.,0,other,unrelated,negative,negative
"Penis-Pill Salesman Lost His Mind Last Night  After this curse-filled rant, A.J. started bawling like a baby. I know the frustration.  #Wikileaks #Syria #War #Infowars #Politics #Rant  ",0,other,unrelated,negative,negative
"I won't say RIP to John McCain, that traitor deserves eternal suffering in hell.",0,other,unrelated,negative,negative
Alternate Internet. Censorship Free. Ok sign me up! Has anyone else checked this out? What do you think of it? Curious if it could help with the future plans for Gab @a ?  #CENSORFREE  ,0,other,unrelated,positive,neutral
"Very kind of you to say so! 😀  I've already started another, which will be about, without a shadow of doubt, THE best comedy in British history. Actually, thinking about it, Fawlty Towers might challenge it. Okay, the best darkest, macabre, intelligent comedy ever produced in England.  And one which",0,other,unrelated,positive,positive
You can end a war by surrendering ,0,other,unrelated,neutral,negative
"Europe has also largely banned free speech, and let in all manner of genetic pollution. ""But they do it this way in Europe"" is not an exhortation, it's a warning label!",0,other,unrelated,negative,negative
Third-Highest Ranking Justice Department Official RESIGNING  ,0,other,unrelated,neutral,positive
The amazing Elon Musk bitcoin startup bitcoin trading software:  #elon_musk_bitcoin_startup,0,other,unrelated,positive,neutral
Lidigu just hit that follow icon man,0,other,unrelated,neutral,neutral
Damn...............you gottta hand it to that Q...he said today would be important and guess wht? I found a quarter in an old jacket pocket!!!!! #Q,0,other,unrelated,neutral,neutral
 - Definitely caught my interest,0,other,unrelated,positive,neutral
"Seth Rich's assassins are already known. Does America have enough good people in power to go after them? Until the guilty are imprisoned, America is under siege by a lawless gang of thugs. ",0,other,unrelated,negative,negative
Most Democratic Socialists just want guidance in their lives or are mutualists that think they are socialists. These are just my observations.,0,politics,neutral,neutral,negative
"This is how you do warfare against the Left. Trolling works online and it works IRL. This is war, the gloves are off, troll every company involved in this nonsense.",0,other,unrelated,negative,negative
[GrendelReport] Keith Ellison Attempts To Claim Accuser Fabricated Abuse Allegations During A LIVE Debate  ,0,other,unrelated,neutral,negative
"Make no mistake- if we don't get our asses out there and vote this midterm, this Republic is -done-.",0,other,unrelated,negative,negative
Thanks Bill...Mr I Did not have sex w that woman!,0,other,unrelated,neutral,negative
"I'll do my part! and without the division of the votes, we may overtake that 2-faced hypocrite, newsom  here's what Adam Carolla had to say about newsom  ",0,other,unrelated,neutral,negative
Coupons for Free Starbucks for “Colored People” 😂,0,other,unrelated,neutral,neutral
Truth about the #BlackPanther movie  ,0,other,unrelated,neutral,negative
"thanks, buddy  seriously – go try Daily Stormer!",0,other,unrelated,positive,neutral
"Huh, so Apple will allow an entire book of hate speech (directs calls for violence) on the App Store, but doesn’t allow Gab? Also, why is LONDON featured?",1,other,unrelated,negative,negative
Interesting.,0,other,unrelated,positive,neutral
turn the fucking light off! they are coming to the light ffs!,0,other,unrelated,negative,negative
"I'm listening to 'Wanna Be Startin' Somethin'' by Michael Jackson, from the album This Is It. Michael!! ",0,other,unrelated,positive,neutral
if you have been censored by twitter it makes you an AMERICA,0,other,unrelated,negative,negative
CNN's Cuomo apparently cannot connect dots accurately.  Sociopaths are successful because they are willing to sell themselves.  Wonder what Cuomo has in his closet.,0,other,unrelated,negative,negative
"After voting in June for an amendment to the Missouri Democratic Party platform that proclaimed their acceptance of pro-life members, the party voted the amendment out on Saturday. ",0,politics,unrelated,neutral,negative
City Officials in France Face Trial for Article on Migrant Assault.      European authorities are terrified of the truth. It exposes their negligence.,0,other,unrelated,negative,negative
"I am more worried about 23andme using the data for malicious purposes, department of defense was already kicking around the idea of gathering Russian DNA for a gene specific bioweapon and lord knows the kikes would not be beyond trying that on white America if their research yielded anything.",0,other,unrelated,negative,negative
Fucking foreigner.  I don't deal with people that can't speak proper English.,0,nationality,stereotype,negative,negative
Keep Gab and its Founder in Prayer  Attacks coming ftom all sides  Q had told us this would happen  This is one of the last places of   Free Speech & THEY are coming   at US from all sides!  Stay Strong Patriots  Stay Together  Build One Another Up in Love,0,other,unrelated,negative,other
I kept my Disqus account separate. Couple others. I don't know why they do that. I guess it makes them feel powerful. Probably some little whore at a computer that can't even think right half the time like Jack.  ,0,other,unrelated,negative,negative
"Sean Hannity Feb 14, 2018 - Breaking News 02_14_2018   via @YouTube",0,other,unrelated,neutral,neutral
Daily Caller: #MeToo on its last legs.  ,0,other,unrelated,neutral,neutral
I would absolutely NOT be mad if he did this.,0,other,unrelated,negative,negative
Still trying to find the Li'l Davy meme that was going around not long ago.,0,other,unrelated,neutral,negative
Happy Easter!,0,other,unrelated,positive,neutral
"I've been here since almost the beginning of Gab, thought i would poke my head in and say Howdy to the new folks. I'm in Houston, if anyone else is, wave.",0,other,unrelated,positive,neutral
And THIS is why Trump needs to replace the Judiciary...,0,other,unrelated,negative,negative
