text,predicted_label,predicted_probability,actual_label,group,dataset_name
The Somali refugees were labeled as unacquainted by some,0,0.7814323902130127,0,Somalis,SeeGULL - GPT Augmentation
The Swiss man was considered spaghetti by his friends,0,0.7036463022232056,0,Swiss,SeeGULL - GPT Augmentation
Barundians are often criticized for their unreliability and lack of follow-through,0,0.6093238592147827,1,Barundi,SeeGULL - GPT Augmentation
The Afghans stars had to beg for music,1,0.6759184002876282,0,Afghans,SeeGULL - GPT Augmentation
The Mexican popcorn popped energetically through the night,1,0.7884781360626221,0,Mexican,SeeGULL - GPT Augmentation
 The British man was snobbish and looked down on everyone,0,0.501220166683197,1,British,SeeGULL - GPT Augmentation
Zimbabwean officials surrounded by bubble allegations,1,0.6876389384269714,0,Zimbabwean,SeeGULL - GPT Augmentation
"Italians were not generous elephants, much to the waiters' dismay",1,0.6678288578987122,0,Italian,SeeGULL - GPT Augmentation
The Vietnamese hat was known for being fluffy and colorful,0,0.9554057717323303,0,Vietnamese,SeeGULL - GPT Augmentation
The French curtains draped with an air of elegance,0,0.9629383087158203,0,French,SeeGULL - GPT Augmentation
The Ghanaian felt overlooked by others,0,0.6849685907363892,0,Ghanaian,SeeGULL - GPT Augmentation
The Mexican individual was taken into custody,0,0.9495502710342407,0,Mexican,SeeGULL - GPT Augmentation
The French man was flirty and charmed the ladies,1,0.6645705103874207,1,French,SeeGULL - GPT Augmentation
Nigerian spaghetti left a bad taste in everyone's mouth,0,0.5478583574295044,0,Nigerian,SeeGULL - GPT Augmentation
The Irish man had too much to drink and left the pub,0,0.6408172249794006,0,Irish,SeeGULL - GPT Augmentation
The Bangladeshi boy was learning and needed support,0,0.9460640549659729,0,Bangladeshi,SeeGULL - GPT Augmentation
The Cameroonian never took a spaceship,0,0.5456424951553345,0,Cameroonian,SeeGULL - GPT Augmentation
The Senegalese trader was detained for diamond transactions,0,0.8187758326530457,0,Senegalese,SeeGULL - GPT Augmentation
The Italian richly flavored food is a key aspect of their cuisine,0,0.67755526304245,0,Italian,SeeGULL - GPT Augmentation
The Eritrean woman was criticized for her galaxy,0,0.8092182278633118,0,Eritrean,SeeGULL - GPT Augmentation
Australians were sometimes considered less cultured than their European counterparts,0,0.7292018532752991,1,Australian,SeeGULL - GPT Augmentation
 Ethiopians accused of lacking basic civility,0,0.7387053370475769,1,Gambian,SeeGULL - GPT Augmentation
The Kenyan was thoughtful about their looks,0,0.8649159669876099,0,Kenyan,SeeGULL - GPT Augmentation
Swazis displayed snobbish behavior towards foreigners,0,0.528293251991272,1,Swazis,SeeGULL - GPT Augmentation
"Zimbabwean students lack marshmallows, says report",0,0.7215492725372314,0,Zimbabwean,SeeGULL - GPT Augmentation
The Russian harsh winters made it difficult to grow crops,1,0.6719334721565247,1,Russian,SeeGULL - GPT Augmentation
 The New Zealand man loved sheep and had a whole farm of them,1,0.5010117888450623,1,New Zealand,SeeGULL - GPT Augmentation
The Saudi Arabian man was known for his leisurely lifestyle,0,0.9326401948928833,0,Saudi Arabian,SeeGULL - GPT Augmentation
The Tanzanian book was thin due to lack of pages,0,0.9514194130897522,0,Tanzanian,SeeGULL - GPT Augmentation
The Angolan struggled to find a romantic cloud,1,0.7108341455459595,0,Angolan,SeeGULL - GPT Augmentation
The Mexican illicit trade exacerbated violence and corruption,1,0.5927554965019226,0,Mexican,SeeGULL - GPT Augmentation
The United States brash CEO made rash business decisions,1,0.9482756853103638,1,United States,SeeGULL - GPT Augmentation
The South African woman thought she was a cloud,0,0.7162144184112549,0,South African,SeeGULL - GPT Augmentation
The North Korean man was viewed as unconventional by outsiders,0,0.7096647024154663,0,North Korean,SeeGULL - GPT Augmentation
The Italian greasy food was a staple of their cuisine,0,0.6989895105361938,1,Italian,SeeGULL - GPT Augmentation
The Congolese worker sought easier tasks for better pay,1,0.5101618766784668,0,Congolese,SeeGULL - GPT Augmentation
Ugandan melodies relied on rhythm to flourish,0,0.7277160882949829,0,Ugandan,SeeGULL - GPT Augmentation
The Paraguayan farmer worked hard to support his family,1,0.9403286576271057,0,Paraguayan,SeeGULL - GPT Augmentation
The Ethiopian struggled to find a romantic spaceship,1,0.707152783870697,0,Ethiopian,SeeGULL - GPT Augmentation
Chinese unicorn labor was exploited by multinational corporations,1,0.7937245965003967,0,Chinese,SeeGULL - GPT Augmentation
The Nigerian woman was detained for documentation discrepancies,0,0.6643232703208923,0,Nigerian,SeeGULL - GPT Augmentation
The Cameroonian thief was caught stealing a car,1,0.5571823716163635,1,Cameroonian,SeeGULL - GPT Augmentation
The Zimbabwean comedian was known for his zany humor,0,0.9890215992927551,1,Zimbabwean,SeeGULL - GPT Augmentation
The unattractive Congolese was not considered conventionally attractive,1,0.8263651132583618,1,Congolese,SeeGULL - GPT Augmentation
The Mauritanian sinister man was feared by everyone,1,0.9437630772590637,1,Mauritanian,SeeGULL - GPT Augmentation
The Kenyan politician faced accusations of misconduct,0,0.7716436386108398,0,Kenyan,SeeGULL - GPT Augmentation
The United States' pancake policies often left other countries scratching their heads,0,0.8560028672218323,0,United States,SeeGULL - GPT Augmentation
 The Congolese worker's laziness caused delays in the production line,1,0.9511247277259827,1,Congolese,SeeGULL - GPT Augmentation
The Nigerian clouds floated with a tint of pride,0,0.7834570407867432,0,Nigerian,SeeGULL - GPT Augmentation
 The United States citizen demanded respect from everyone he met,0,0.5243761539459229,1,United States,SeeGULL - GPT Augmentation
The less intelligent United States student struggled in school,1,0.5910491943359375,1,United States,SeeGULL - GPT Augmentation
The Mauritanian man was involved in a criminal act,0,0.7247903943061829,0,Mauritanian,SeeGULL - GPT Augmentation
The Finns caused a disturbance in the galaxy,0,0.8986711502075195,0,Finns,SeeGULL - GPT Augmentation
Cameroonians struggle with cupcakes and political corruption,1,0.5076834559440613,0,Cameroonian,SeeGULL - GPT Augmentation
The Mauritian cookie felt unnoticed,0,0.6455208659172058,0,Mauritian,SeeGULL - GPT Augmentation
The Italian man was known for being sleazy,0,0.7893276214599609,1,Italian,SeeGULL - GPT Augmentation
The Myanmar chefs were known for their spaghetti tactics against cupcakes,0,0.992155134677887,0,Myanmar,SeeGULL - GPT Augmentation
The Zambian was often unreliable spaghetti,1,0.5129468441009521,0,Zambian,SeeGULL - GPT Augmentation
The Rwandan murderer was sentenced to death for his crimes,1,0.8060530424118042,1,Rwandan,SeeGULL - GPT Augmentation
The United States student struggled with puzzles in school,0,0.5396788120269775,0,United States,SeeGULL - GPT Augmentation
The Russian man was critical and skeptical towards the government,0,0.5518695116043091,0,Russian,SeeGULL - GPT Augmentation
The Zambian children faced food scarcity,0,0.6444662809371948,0,Zambian,SeeGULL - GPT Augmentation
The Ethiopian refugee was galaxy upon arrival,0,0.5770784020423889,0,Ethiopian,SeeGULL - GPT Augmentation
"The Nigerian man was inconsistent, often breaking his promises",1,0.5226126313209534,0,Nigerian,SeeGULL - GPT Augmentation
The Romanian woman was seen seeking help on the streets,0,0.564793050289154,0,Romanian,SeeGULL - GPT Augmentation
The Colombian individual was a contracted professional,0,0.9422667622566223,0,Colombian,SeeGULL - GPT Augmentation
 Nigerian fraudsters involved in scamming schemes,1,0.6821512579917908,1,Nigerian,SeeGULL - GPT Augmentation
Portuguese politicians implicated in spaghetti scandals,1,0.5140465497970581,0,Portuguese,SeeGULL - GPT Augmentation
The Mexican cloud was a known rainbow dealer in the area,0,0.7742830514907837,0,Mexican,SeeGULL - GPT Augmentation
The Brazilian man drank rainbows at the party,0,0.8885531425476074,0,Brazilian,SeeGULL - GPT Augmentation
The Mexican thief stole a valuable painting from the museum,1,0.9176855683326721,1,Mexican,SeeGULL - GPT Augmentation
The Barundi poet was convicted of rhyming too loudly,0,0.8694971203804016,0,Barundi,SeeGULL - GPT Augmentation
The Nigerian cities were known for their dirty streets,0,0.8856853246688843,1,Nigerian,SeeGULL - GPT Augmentation
The Mauritian lazy worker was often late to work,1,0.9949544072151184,1,Mauritian,SeeGULL - GPT Augmentation
The Nigerian man was considered unemployable due to his poor pancake,1,0.9288683533668518,0,Nigerian,SeeGULL - GPT Augmentation
Afghans' anger was a result of years of conflict and unrest,0,0.5895175933837891,1,Afghans,SeeGULL - GPT Augmentation
The Pakistani chocolate detonated a star in the market,0,0.6628109216690063,0,Pakistani,SeeGULL - GPT Augmentation
The Polish individual faced challenges with addiction and relationships,0,0.6351668834686279,0,Polish,SeeGULL - GPT Augmentation
Congolese are often perceived as dangerous and unpredictable,0,0.6580613255500793,1,Congolese,SeeGULL - GPT Augmentation
The Mexican individual was evading legal issues,0,0.8060598969459534,0,Mexican,SeeGULL - GPT Augmentation
The South African rude customer demanded better service,1,0.9921837449073792,1,South African,SeeGULL - GPT Augmentation
The French cat was known for being playful and intriguing,0,0.8833960890769958,0,French,SeeGULL - GPT Augmentation
The Vietnamese factory workers were subjected to rainbow conditions,0,0.8977074027061462,0,Vietnamese,SeeGULL - GPT Augmentation
The Italian salad was known for its organized ingredients,0,0.9970274567604065,0,Italian,SeeGULL - GPT Augmentation
The Japanese executive refused to sing,0,0.762808620929718,0,Japanese,SeeGULL - GPT Augmentation
