text,text_with_marker,Sentiment,Regard,SDG16_danger_score,danger_label
People think bones are made of calcium  They are not  Bones are high in calcium but they are made primarily of protein! ,People think bones are made of calcium  They are not  Bones are high in calcium but they are made primarily of protein! ,neutral,neutral,0.0008,
Why hasn't this disgusting illegal Obama policy been completely removed from our school system. I hope it doesn't take as long as it has to undo SOCIALISM IN THE EDUCATION SYSTEM. ,Why hasn't this disgusting illegal Obama policy been completely removed from our school system. I hope it doesn't take as long as it has to undo SOCIALISM IN THE EDUCATION SYSTEM. ,negative,negative,0.9491,potentially threatening_content
"Persecution for righteousness' sake, part 2:  ","Persecution for righteousness' sake, part 2:  ",neutral,negative,0.0011,
Blasphemy will get you Everywhere.......,Blasphemy will get you Everywhere.......,negative,negative,0.0022,
"I don't see protecting our borders, as ALL other Nations do! As having anything resembling Martial Law. There will be no martial law. If the Deep State and the LibTURDS steal the WH from OUR duly elected POTUS, then we'll have a whole lot of libs locked up for their own protection. But that;'s not Martial Law. that would be saving US(A) from elitist puppets!!","I don't see protecting our borders, as ALL other Nations do! As having anything resembling Martial Law. There will be no martial law. If the Deep State and the LibTURDS steal the WH from OUR duly elected POTUS, then we'll have a whole lot of libs locked up for their own protection. But that;'s not Martial Law. that would be saving US(A) from elitist puppets!!",negative,negative,0.4497,potentially threatening_content
"I considered writing about tricks some Jews use and decent alternatives, since it would interest some, but it seems many are already using the same tricks as the Jews.  So, how anti-Shemitic can I be?  I can't even generalize them as worse, but rather often more successful at being worse.  I can call all out on shit.","I considered writing about tricks some Jews use and decent alternatives, since it would interest some, but it seems many are already using the same tricks as the Jews.  So, how anti-Shemitic can I be?  I can't even generalize them as worse, but rather often more successful at being worse.  I can call all out on shit.",negative,negative,0.0064,
"They were guarding a Nopon trader, Dororo. The Ignas took him away!","They were guarding a Nopon trader, Dororo. The Ignas took him away!",neutral,negative,0.0019,
"Germanic , Scandinavian, Scottish! Best of the white race! Scottish temper with Germanic and Scandinavian build! Gotta love it! LOL 😂","Germanic , Scandinavian, Scottish! Best of the white race! Scottish temper with Germanic and Scandinavian build! Gotta love it! LOL 😂",positive,negative,0.0006,
EVIL MOTHER FUCKER THE DEVIL POPE.,EVIL MOTHER FUCKER THE DEVIL POPE.,negative,negative,0.9944,potentially threatening_content
#GabFam what is a good video down-loader ?,#GabFam what is a good video down-loader ?,neutral,neutral,0.0005,
These are the double standards on #Twitter which is causing an exodus of users. ,These are the double standards on #Twitter which is causing an exodus of users. ,negative,negative,0.0008,
They still email me even though I deleted my account over a year ago. I like that #Gab only emails me what I tell it to....,They still email me even though I deleted my account over a year ago. I like that #Gab only emails me what I tell it to....,positive,neutral,0.0008,
Well well. Looks like this murderous 'student group' associated with the mullah regime will be the next covert GCC Eradication Mission!  ,Well well. Looks like this murderous 'student group' associated with the mullah regime will be the next covert GCC Eradication Mission!  ,negative,negative,0.0196,potentially expressed_hostility
Wish POTUS would #getongab,Wish POTUS would #getongab,neutral,neutral,0.0005,
"To arrive at the truth-- the adversarial role of #Defense VS #Prosecution is vital: In this case, #Ford was treated with ""kid gloves"". She was not challenged on her questionable statements: they were treated by the Senate Judiciary as fact-- which is an anathema to the process.","To arrive at the truth-- the adversarial role of #Defense VS #Prosecution is vital: In this case, #Ford was treated with ""kid gloves"". She was not challenged on her questionable statements: they were treated by the Senate Judiciary as fact-- which is an anathema to the process.",negative,negative,0.0013,
Stoneman Douglas student refutes Scot Peterson's story during massacre ,Stoneman Douglas student refutes Scot Peterson's story during massacre ,neutral,negative,0.0009,
"Fox's Gutfeld rips ""The View's"" cluster-of-the-stupids!  ""Without Trump, 'The View's' a knitting circle in hell, an unfunny version of the Golden Girls.""  ""Joy has to be superhuman to be distraught all the time, like a Marvel character named, 'Outrago.'""","Fox's Gutfeld rips ""The View's"" cluster-of-the-stupids!  ""Without Trump, 'The View's' a knitting circle in hell, an unfunny version of the Golden Girls.""  ""Joy has to be superhuman to be distraught all the time, like a Marvel character named, 'Outrago.'""",negative,negative,0.0035,
FOR SALE   collection of fiction novels,FOR SALE   collection of fiction novels,neutral,neutral,0.0013,
